date,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2022-03-06,0.0,0.0,75.6371568952288,0.3340214013106891,0.0080614293319161,0,0.0,2.0,6.82,1
2022-03-07,0.0069348626764893,0.0069109271125025,75.83001382010323,0.3403041206451208,0.0081370531578197,1,0.0069348626764893,3.0,6.82,1
2022-03-08,0.0086733970563863,0.0086359992366519,76.08658599853516,0.5002081403528887,0.0191694712030719,1,0.0086733970563863,1.0,6.82,0
2022-03-09,-0.0021575481273882,-0.0021598789875813,76.2456283569336,0.5668892270264422,0.013477055077485,0,0.0,1.0,6.82,0
2022-03-10,-0.0101358579720129,-0.0101875755451977,76.31761496407645,0.504379803855713,0.0032045955893256,1,0.0101358579720129,2.0,6.82,1
2022-03-11,0.0023038025067054,0.0023011528224962,76.37741524832589,0.4690436986796044,0.0055157808513827,0,0.0,1.0,6.82,0
2022-03-12,0.0,0.0,76.43721553257534,0.4210235425086021,-0.0014093084644368,0,0.0,2.0,6.82,0
2022-03-13,0.0,0.0,76.49701581682477,0.3552118843224092,-0.0099960061901578,0,0.0,3.0,6.82,1
2022-03-14,0.0058104542386112,0.0057936386553904,76.54497310093471,0.365284563805383,-0.0020905957215793,1,0.0058104542386112,4.0,6.82,0
2022-03-15,-0.0034344039384266,-0.0034403150415906,76.46058654785156,0.2788808084873864,0.0046653253371979,1,0.0034344039384266,1.0,6.82,0
2022-03-16,-0.0029310642338548,-0.0029353682148469,76.36792973109654,0.1993397341946937,-0.0005818752459472,0,0.0,1.0,6.82,0
2022-03-17,-0.0031691649850484,-0.0031741974236312,76.35211508614677,0.2237988695033091,-0.0037491961723406,1,0.0031691649850484,2.0,6.82,0
2022-03-18,-0.0005603812840679,-0.0005605383563427,76.30515725272042,0.2647687825522767,-0.0043074764770433,0,0.0,1.0,6.82,0
2022-03-19,0.0,0.0,76.25819941929409,0.2915029905345386,-0.0100594805641722,0,0.0,2.0,6.82,0
2022-03-20,0.0,0.0,76.21124158586774,0.3077342844404125,-0.0066479082279459,0,0.0,3.0,6.82,0
2022-03-21,-0.0004631963257576,-0.0004633036343136,76.09591347830636,0.2045222615845244,-0.0041892399646109,0,0.0,4.0,6.82,1
2022-03-22,0.0047493346441043,0.0047380921365578,76.06977081298828,0.1502278500916528,0.0037211565209956,1,0.0047493346441043,5.0,6.82,0
2022-03-23,-0.0026891363928858,-0.0026927586153797,76.04634203229632,0.1252555600564256,0.0015832819563292,0,0.0,1.0,6.82,1
2022-03-24,0.0059197010715372,0.0059022484833488,76.12179892403739,0.2272592559843332,0.0075123555837599,1,0.0059197010715372,2.0,6.82,0
2022-03-25,-0.0029900708360358,-0.0029945500288022,76.17064230782645,0.2288407454917285,0.0044998222723831,0,0.0,1.0,6.82,0
2022-03-26,0.0,0.0,76.21948569161552,0.2179973084786771,0.0049653185154333,0,0.0,2.0,6.82,0
