datetime_utc,hourly_return,log_return,rolling_mean_24h,rolling_std_24h,price_momentum_8h,spike_signal,spike_intensity,inter_spike_interval_h,hour_of_day,target
2025-11-10 11:00:00+00:00,-0.000806050526836799,-0.0008063755602366721,16.6015222954622,0.029594793354501304,-0.0014661996545754265,0,0.0,93.0,11,1
2025-11-10 12:00:00+00:00,0.0046090355589125664,0.004598446479018378,16.606357588938184,0.03270303963956992,0.00305123783131911,1,0.0046090355589125664,94.0,12,0
2025-11-10 13:00:00+00:00,-0.0004062321889879428,-0.00040631472363653856,16.61135733085102,0.03357235852277732,0.0027003592818184924,0,0.0,1.0,13,1
2025-11-10 14:00:00+00:00,0.0007598412799014742,0.0007595527466665436,16.617928654733646,0.032227423622138616,0.003688601826890258,0,0.0,2.0,14,0
2025-11-10 15:00:00+00:00,-0.0007217789963622767,-0.0007220396042304742,16.62354964541366,0.029730188483728607,0.003592997413633097,0,0.0,3.0,15,0
2025-11-10 16:00:00+00:00,-0.00011648177505274582,-0.00011648855958155996,16.62821975099466,0.028239441878689445,0.0036175167806070476,0,0.0,4.0,16,1
2025-11-10 17:00:00+00:00,0.0023329730075303257,0.0023302558512177016,16.633483540185917,0.03153634811831041,0.0057321318858173645,1,0.0023329730075303257,5.0,17,1
2025-11-10 18:00:00+00:00,0.0004108339296835517,0.00041074956053167795,16.63854523529195,0.03503796135710384,0.006066110971475851,0,0.0,1.0,18,0
2025-11-10 19:00:00+00:00,-0.0004145941079652937,-0.00041468007586448424,16.64308567518258,0.037213791230191515,0.0064602597122248645,0,0.0,2.0,19,1
2025-11-10 20:00:00+00:00,0.0014722773386526278,0.0014711946009681603,16.64830880928996,0.041126610701548105,0.0033177212905385303,0,0.0,3.0,20,1
2025-11-10 21:00:00+00:00,0.0012334547429821985,0.0012326946626329785,16.65410156105828,0.04617038156972774,0.004963516821874001,0,0.0,4.0,21,0
2025-11-10 22:00:00+00:00,-5.6686936076411065e-05,-5.668854284149394e-05,16.659894238689322,0.04990494196285271,0.004143558792319271,0,0.0,5.0,22,0
2025-11-10 23:00:00+00:00,-0.002808233711045105,-0.002812184196991624,16.664206079182808,0.049483217183952835,0.002046945438376321,1,0.002808233711045105,6.0,23,1
2025-11-11 00:00:00+00:00,0.0025673463148410125,0.0025640563111403417,16.66961759935459,0.051735105703817764,0.004736580471398986,1,0.0025673463148410125,1.0,0,1
2025-11-11 01:00:00+00:00,0.00022560661797776937,0.00022558117263175205,16.675186593251286,0.05356528320607276,0.002624160589923565,0,0.0,1.0,1,0
2025-11-11 02:00:00+00:00,-6.764090219524288e-05,-6.764318994423196e-05,16.68070836305497,0.054679887681988865,0.0021446271718463692,0,0.0,2.0,2,1
2025-11-11 03:00:00+00:00,0.0006880732760599084,0.0006878366621755336,16.68642521059763,0.05619052141650432,0.003250117696162704,0,0.0,3.0,3,0
2025-11-11 04:00:00+00:00,-0.0003944993019503462,-0.00039457713727129217,16.69180785918216,0.056775662860769655,0.0013800271037655838,0,0.0,4.0,4,1
2025-11-11 05:00:00+00:00,0.00014092977515778315,0.0001409198454899331,16.697328031026284,0.056891670352620556,0.00028734219925212446,0,0.0,5.0,5,1
2025-11-11 06:00:00+00:00,0.00014090991675463904,0.0001408999898848378,16.703102876349856,0.05633851229788128,0.00048500703501138694,0,0.0,6.0,6,0
2025-11-11 07:00:00+00:00,-0.003987942792479382,-0.003995915840770585,16.706526150918744,0.0531790932144062,-0.0006985980533363085,1,0.003987942792479382,7.0,7,1
2025-11-11 08:00:00+00:00,0.00016936980648063482,0.00016935546503427698,16.710164813268584,0.049348438393208835,-0.0030887629589138386,0,0.0,1.0,8,0
2025-11-11 09:00:00+00:00,-5.641833011726938e-05,-5.64199216911189e-05,16.713608121209695,0.045257445455082236,-0.0033698533829357802,0,0.0,2.0,9,0
2025-11-11 10:00:00+00:00,-0.0007230715608643745,-0.0007233331031889176,16.71649380027392,0.04089505359363268,-0.004023119523893677,0,0.0,3.0,10,0
2025-11-11 11:00:00+00:00,-0.0005195064370027147,-0.0005196414272259762,16.719576388305356,0.03436218419883357,-0.005225014007960942,0,0.0,4.0,11,1
2025-11-11 12:00:00+00:00,0.0032942774783268902,0.0032888632336989998,16.721759503743304,0.033467618934691336,-0.0015540629504031062,1,0.0032942774783268902,5.0,12,1
2025-11-11 13:00:00+00:00,0.002131724554242709,0.0021294556533308323,16.72571127478854,0.03322796471392813,0.00043335792149710523,1,0.002131724554242709,1.0,13,1
2025-11-11 14:00:00+00:00,0.0016054018941420445,0.0016041146140716022,16.730256856499526,0.035116902557271,0.0018982781262998488,0,0.0,1.0,14,0
2025-11-11 15:00:00+00:00,-0.0017981671601389193,-0.0017997858033919566,16.734045858715238,0.033776077131909124,0.004100994870187276,0,0.0,2.0,15,0
2025-11-11 16:00:00+00:00,-0.0008991628088526049,-0.0008995672982170557,16.737287653690476,0.03131199154160031,0.0030282618966561503,0,0.0,3.0,16,1
2025-11-11 17:00:00+00:00,0.0007925027368926862,0.0007921888724133875,16.73946183646178,0.03128825094443102,0.003879801761443839,0,0.0,4.0,17,1
2025-11-11 18:00:00+00:00,0.0002622982937581231,0.0002622638995748945,16.741533159469046,0.031507242971444194,0.0048697104305703695,0,0.0,5.0,18,0
2025-11-11 19:00:00+00:00,-0.0001757864603542103,-0.00017580191260492306,16.743770475980657,0.031215978258894054,0.005215283751539039,0,0.0,6.0,19,1
2025-11-11 20:00:00+00:00,0.0006060964025469406,0.00060591280030571,16.745406001785238,0.031840316631147336,0.0025219556188825903,0,0.0,7.0,20,0
2025-11-11 21:00:00+00:00,-0.00026809798162874543,-0.0002681339263172313,16.74599397531814,0.03219473332512405,0.00012119858979029804,0,0.0,8.0,21,0
2025-11-11 22:00:00+00:00,0.0,0.0,16.746621528471877,0.03254697621402643,-0.001481824380684311,0,0.0,9.0,22,0
2025-11-11 23:00:00+00:00,0.0,0.0,16.749209718987903,0.03189969458478849,0.0003169126413589529,0,0.0,10.0,23,1
2025-11-12 00:00:00+00:00,0.0011649511251226041,0.0011642730960900098,16.750824557549926,0.03301042970298545,0.002383538952652007,0,0.0,11.0,0,1
2025-11-12 01:00:00+00:00,0.0005423217386635315,0.0005421747353757358,16.75266133945721,0.03449313991984295,0.0021329602225977737,0,0.0,12.0,1,0
2025-11-12 02:00:00+00:00,-0.00030486909279525687,-0.0003049155748246572,16.75433193843091,0.03554983936167923,0.0015647321358270416,0,0.0,13.0,2,1
2025-11-12 03:00:00+00:00,0.001078612654400679,0.0010780313697213541,16.75627697940566,0.037453847799027655,0.002821314939431045,0,0.0,14.0,3,0
2025-11-12 04:00:00+00:00,-0.00036669642416764514,-0.00036676367374201523,16.75824073000761,0.03884496038340239,0.0018463684693295482,0,0.0,15.0,4,0
2025-11-12 05:00:00+00:00,-0.0001692933398053098,-0.00016930767154029537,16.759987514282628,0.03994621252104737,0.0019453820862790486,0,0.0,16.0,5,1
2025-11-12 06:00:00+00:00,0.0005079660146793952,0.00050783704361679,16.76199154326693,0.04135447297950825,0.0024543362889438034,0,0.0,17.0,6,0
2025-11-12 07:00:00+00:00,-0.0008818583886305298,-0.0008822474544901407,16.76616344590396,0.039573604345201276,0.0015703135232684026,0,0.0,18.0,7,1
2025-11-12 08:00:00+00:00,0.0006830725239546087,0.0006828393361015524,16.770695595390453,0.0378942833431155,0.001088239813926357,0,0.0,19.0,8,1
2025-11-12 09:00:00+00:00,5.638172719013568e-05,5.6380137800296624e-05,16.775306491807644,0.03549167295373217,0.0006020346628081842,0,0.0,20.0,9,0
2025-11-12 10:00:00+00:00,-0.00026315194323256463,-0.00026318657378070876,16.780236189750156,0.03061379961094726,0.000643789657348244,0,0.0,21.0,10,0
2025-11-12 11:00:00+00:00,-0.00016621291073959377,-0.0001662267256362727,16.78541071436814,0.021961034263865694,-0.00060049521221004,0,0.0,22.0,11,1
2025-11-12 12:00:00+00:00,0.0011321733547129398,0.0011315329297961513,16.78908856090658,0.020219936529886035,0.0008980240041828709,0,0.0,23.0,12,0
2025-11-12 13:00:00+00:00,-0.004397323784867901,-0.00440702044979371,16.78819797898317,0.021559490708969148,-0.003334519855195617,1,0.004397323784867901,24.0,13,0
2025-11-12 14:00:00+00:00,-0.0012729831847064776,-0.0012737941160751364,16.785297352904553,0.024872930987086525,-0.005108629256832658,0,0.0,1.0,14,0
2025-11-12 15:00:00+00:00,-0.0011461725456348715,-0.0011468299037322635,16.782856342808156,0.02933072502297481,-0.0053718252323805065,0,0.0,2.0,15,1
2025-11-12 16:00:00+00:00,0.0010084016837947907,0.001007893588364354,16.78174545899573,0.031049683566055416,-0.005048464562718681,0,0.0,3.0,16,0
2025-11-12 17:00:00+00:00,-3.0280371823177e-05,-3.0280830282890785e-05,16.78006034521478,0.033078040229485184,-0.0051346842899790265,0,0.0,4.0,17,1
