,close,high,low,open,volume,roll_mean,roll_upper,roll_lower,is_outlier
2024-06-07,5.2571001052856445,5.292200088500977,5.243299961090088,5.2571001052856445,0.0,5.1664,5.3316,5.0012,False
2024-06-08,5.2571001052856445,,,,,5.172,5.3383,5.0058,False
2024-06-09,5.2571001052856445,,,,,5.1759,5.3475,5.0043,False
2024-06-10,5.270441055297852,5.384099960327148,5.270441055297852,5.270441055297852,0.0,5.1802,5.3582,5.0023,False
2024-06-11,5.352799892425537,5.364299774169922,5.317385196685791,5.352799892425537,0.0,5.1873,5.3872,4.9874,False
2024-06-12,5.3649001121521,5.424200057983398,5.334041118621826,5.3649001121521,0.0,5.1954,5.4141,4.9766,False
2024-06-13,5.401000022888184,5.414599895477295,5.363160133361816,5.401000022888184,0.0,5.2036,5.4482,4.959,False
2024-06-14,5.361599922180176,5.375999927520752,5.343299865722656,5.361599922180176,0.0,5.2114,5.4668,4.956,False
2024-06-15,5.361599922180176,,,,,5.219,5.4832,4.9548,False
2024-06-16,5.361599922180176,,,,,5.2268,5.497,4.9565,False
2024-06-17,5.357200145721436,5.424799919128418,5.327279090881348,5.357200145721436,0.0,5.2344,5.5078,4.9609,False
2024-06-18,5.423999786376953,5.437899112701416,5.392000198364258,5.423999786376953,0.0,5.2442,5.5298,4.9586,False
2024-06-19,5.439899921417236,5.46999979019165,5.428699970245361,5.439899921417236,0.0,5.2555,5.5487,4.9622,False
2024-06-20,5.422399997711182,5.451900005340576,5.385897159576416,5.422399997711182,0.0,5.2661,5.56,4.9722,False
2024-06-21,5.452400207519531,5.459099769592285,5.411539077758789,5.452400207519531,0.0,5.2771,5.5764,4.9779,False
2024-06-22,5.452400207519531,,,,,5.2872,5.5925,4.9819,False
2024-06-23,5.452400207519531,,,,,5.2975,5.6045,4.9905,False
2024-06-24,5.426126003265381,5.433700084686279,5.375999927520752,5.426126003265381,0.0,5.3069,5.6089,5.005,False
2024-06-25,5.3892998695373535,5.444499969482422,5.386000156402588,5.3892998695373535,0.0,5.3151,5.6055,5.0248,False
2024-06-26,5.450699806213379,5.518599987030029,5.445799827575684,5.450699806213379,0.0,5.3245,5.612,5.037,False
2024-06-27,5.522500038146973,5.535999774932861,5.482964992523193,5.522500038146973,0.0,5.3362,5.63,5.0424,False
2024-06-28,5.500500202178955,5.580900192260742,5.482699871063232,5.500500202178955,0.0,5.3475,5.6373,5.0577,False
2024-06-29,5.500500202178955,,,,,5.3574,5.6469,5.068,False
2024-06-30,5.500500202178955,,,,,5.3674,5.6533,5.0815,False
2024-07-01,5.591899871826172,5.600200176239014,5.566800117492676,5.591899871826172,0.0,5.3804,5.6759,5.0849,False
2024-07-02,5.65500020980835,5.683899879455566,5.627941131591797,5.65500020980835,0.0,5.3955,5.7097,5.0813,False
2024-07-03,5.67549991607666,5.675899982452393,5.565599918365479,5.67549991607666,0.0,5.4099,5.7476,5.0721,False
2024-07-04,5.555399894714356,5.559500217437744,5.46419620513916,5.555399894714356,0.0,5.4201,5.7542,5.086,False
2024-07-05,5.486400127410889,5.530900001525879,5.470699787139893,5.486400127410889,0.0,5.4267,5.754,5.0994,False
2024-07-06,5.486400127410889,,,,,5.4329,5.7537,5.112,False
2024-07-07,5.486400127410889,,,,,5.4405,5.7466,5.1344,False
2024-07-08,5.471290111541748,5.492499828338623,5.452383995056152,5.471290111541748,0.0,5.4477,5.7359,5.1594,False
2024-07-09,5.470399856567383,5.474199771881104,5.431099891662598,5.470399856567383,0.0,5.4548,5.7222,5.1874,False
2024-07-10,5.417099952697754,5.420899868011475,5.372700214385986,5.417099952697754,0.0,5.4597,5.707,5.2123,False
2024-07-11,5.414700031280518,5.43179988861084,5.3680620193481445,5.414700031280518,0.0,5.4617,5.703,5.2205,False
2024-07-12,5.438000202178955,5.463399887084961,5.415200233459473,5.438000202178955,0.0,5.4642,5.6996,5.2287,False
2024-07-13,5.438000202178955,,,,,5.4654,5.6986,5.2322,False
2024-07-14,5.438000202178955,,,,,5.468,5.6943,5.2416,False
2024-07-15,5.422800064086914,5.474299907684326,5.401463985443115,5.422800064086914,0.0,5.47,5.6898,5.2502,False
2024-07-16,5.446800231933594,5.456699848175049,5.405600070953369,5.446800231933594,0.0,5.4728,5.6844,5.2613,False
2024-07-17,5.424300193786621,5.477399826049805,5.42137622833252,5.424300193786621,0.0,5.4751,5.6782,5.2719,False
2024-07-18,5.48769998550415,5.548600196838379,5.478568077087402,5.48769998550415,0.0,5.4772,5.6784,5.276,False
2024-07-19,5.5432000160217285,5.570000171661377,5.521999835968018,5.5432000160217285,0.0,5.4806,5.6838,5.2774,False
2024-07-20,5.5432000160217285,,,,,5.4847,5.6879,5.2814,False
2024-07-21,5.5432000160217285,,,,,5.4877,5.6925,5.2829,False
