data,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2022-09-09,0.0007093007673761864,0.0007090493324751733,79.74175698416573,0.07796623750949169,-0.00013169177998284944,0,0.0,1.0,7.28,0
2022-09-10,0.0,0.0,79.7402572631836,0.0786245665461295,-0.00022833300636863435,0,0.0,2.0,7.28,0
2022-09-11,0.0,0.0,79.73875754220145,0.0792443227663047,-0.0009613364498752405,0,0.0,3.0,7.28,0
2022-09-12,-0.000633563007501281,-0.00063376379335499,79.72894287109375,0.08532531221726013,-0.0029952222166305977,0,0.0,4.0,7.28,0
2022-09-13,-0.0037724680802766475,-0.003779601784751517,79.66784340994698,0.16033137631853436,-0.0036974637301135965,1,0.0037724680802766475,5.0,7.28,1
2022-09-14,0.0031138541126467523,0.003109016109551444,79.62602887834821,0.125587420523194,-0.0013034991745207165,1,0.0031138541126467523,1.0,7.28,0
2022-09-15,-0.0018680909818101776,-0.0018698380398830083,79.59801374162946,0.1403995816706646,-0.003169155101278191,0,0.0,1.0,7.28,1
2022-09-16,0.004976495932699221,0.00496415410591328,79.61841365269252,0.16667178759125137,0.0017915695439494972,1,0.004976495932699221,2.0,7.28,0
2022-09-17,0.0,0.0,79.63881356375558,0.1867508915405942,0.002426669999794074,0,0.0,1.0,7.28,0
2022-09-18,0.0,0.0,79.65921347481864,0.2024877148627252,0.006222612687811417,0,0.0,2.0,7.28,0
2022-09-19,-0.001998761511223801,-0.0020007617007254466,79.66402762276786,0.20279339659399417,0.0010941525138959095,0,0.0,3.0,7.28,1
2022-09-20,0.00022584834824335154,0.00022582284834448386,79.71434129987445,0.1503374403963149,0.0031943062111136236,0,0.0,4.0,7.28,1
2022-09-21,0.0006926111238361177,0.0006923713794450547,79.73724147251674,0.1424462076458397,-0.0010819817081647674,0,0.0,5.0,7.28,1
2022-09-22,0.0036106397369133347,0.0036041370251907213,79.82252720424107,0.12157793166521183,0.0025247513825985353,1,0.0036106397369133347,6.0,7.28,1
2022-09-23,0.012635806566750007,0.012556640946409852,79.99582781110492,0.4855485152941355,0.015192460219448135,1,0.012635806566750007,1.0,7.28,0
2022-09-24,0.0,0.0,80.16912841796875,0.6218169295021457,0.017225651700296274,0,0.0,1.0,7.28,0
2022-09-25,0.0,0.0,80.34242902483258,0.6837236231120016,0.016995964841466617,0,0.0,2.0,7.28,1
2022-09-26,0.0023759092365778223,0.002373091226901774,80.56604330880302,0.6905246247169018,0.018706687364300905,0,0.0,3.0,7.28,1
2022-09-27,0.004442815267164724,0.004432975098019658,80.83865792410714,0.6715155711878692,0.01955138026029304,1,0.004442815267164724,4.0,7.28,1
2022-09-28,0.0013331094813706645,0.001332221679862817,81.11892918178013,0.5451226865035166,0.008171493889167844,0,0.0,1.0,7.28,0
2022-09-29,-0.0036206776317011524,-0.0036272481495700903,81.31578717912946,0.2788433476729296,0.004521229912324582,1,0.0036206776317011524,2.0,7.28,1
2022-09-30,0.000637307724343783,0.0006371047300180178,81.37555803571429,0.2596058968463715,0.005161419051415131,0,0.0,1.0,7.28,0
2022-10-01,0.0,0.0,81.43532889229911,0.22068273256867468,0.002778907383118241,0,0.0,2.0,7.46,0
2022-10-02,0.0,0.0,81.49509974888393,0.14720921462718048,-0.0016565481466497083,0,0.0,3.0,7.46,1
2022-10-03,0.0004995400205527467,0.000499415291972896,81.53317151750836,0.10232229861537663,-0.0024876288379729024,0,0.0,4.0,7.46,0
2022-10-04,-0.0003225969475422197,-0.0003226489931309678,81.51591491699219,0.09605913749323386,0.0008142023117536615,0,0.0,5.0,7.46,0
2022-10-05,-0.00036202058602397,-0.00036208613129595844,81.47890036446708,0.028181233153844652,-0.00018530266179455187,0,0.0,6.0,7.46,1
2022-10-06,0.002250079276288508,0.002247551638793451,81.51034327915737,0.06349789484330676,0.002064359668814798,0,0.0,7.0,7.46,1
2022-10-07,0.008575695915630455,0.008539133518706983,81.63440050397601,0.3211747274261664,0.010657758905225507,1,0.008575695915630455,8.0,7.46,0
2022-10-08,0.0,0.0,81.75845772879464,0.407877399907996,0.010153146981420962,0,0.0,1.0,7.46,0
2022-10-09,0.0,0.0,81.88251495361328,0.44007304632849076,0.010479124462527686,0,0.0,2.0,7.46,1
2022-10-10,0.005868914754307397,0.005851759762176864,82.0698002406529,0.5304193788391078,0.01677763474019011,1,0.005868914754307397,3.0,7.46,0
2022-10-11,-0.004969054512781845,-0.0049814413149910615,82.20204271589007,0.47581339693391744,0.009453860034954633,1,0.004969054512781845,1.0,7.46,0
2022-10-12,-0.0017810717458761616,-0.0017826597399925681,82.3175288609096,0.34825745200998837,-0.0009119252360277082,0,0.0,1.0,7.46,0
2022-10-13,-0.0008982914657673646,-0.0008986951713277128,82.39627075195312,0.20449855082485788,-0.0018093975271381835,0,0.0,2.0,7.46,0
2022-10-14,-9.606354784674753e-05,-9.606816224487932e-05,82.37385668073382,0.21865195894909598,-0.0019052872578390549,0,0.0,3.0,7.46,0
2022-10-15,0.0,0.0,82.3514426095145,0.2294023894999727,-0.007728842096731186,0,0.0,4.0,7.46,0
2022-10-16,0.0,0.0,82.3290285382952,0.23721296077054388,-0.002773569602499147,0,0.0,5.0,7.46,1
